Serial Data Number,Serial Sheet Number,JIS Code,EBCDIC Code,4 Character Code,Evaluation of Individual Character Image,Evaluation of Character Group,Sample Position Y on Sheet,Sample Position X on Sheet,Male-Female Code,Age of Writer,Industry Classification Code,Occupation Classification Code,Sheet Gatherring Date,Scanning Date,Number of X-Axis Sampling Points,Number of Y-Axis Sampling Points,Number of Levels of Pixel,Magnification of Scanning Lenz,Serial Data Number (old)
500100,5001,b1,81,H  A,0,0,1,0,1,23,9144,11,741202,741216,72,76,16,133,0
500101,5001,b2,82,H  I,0,0,1,1,1,23,9144,11,741202,741216,72,76,16,133,0
500102,5001,b3,83,H  U,0,0,1,2,1,23,9144,11,741202,741216,72,76,16,133,0
500103,5001,b4,84,H  E,0,0,1,3,1,23,9144,11,741202,741216,72,76,16,133,0
500104,5001,b5,85,H  O,0,0,1,4,1,23,9144,11,741202,741216,72,76,16,133,0
500105,5001,b6,86,H KA,0,0,1,5,1,23,9144,11,741202,741216,72,76,16,133,0
500106,5001,b7,87,H KI,0,0,1,6,1,23,9144,11,741202,741216,72,76,16,133,0
500107,5001,b8,88,H KU,0,0,1,7,1,23,9144,11,741202,741216,72,76,16,133,0
500108,5001,b9,89,H KE,0,0,1,8,1,23,9144,11,741202,741216,72,76,16,133,0
500109,5001,ba,8a,H KO,0,0,1,9,1,23,9144,11,741202,741216,72,76,16,133,0
500110,5001,bb,8c,H SA,0,0,2,0,1,23,9144,11,741202,741216,72,76,16,133,0
500111,5001,bc,8d,H SI,0,0,2,1,1,23,9144,11,741202,741216,72,76,16,133,0
500112,5001,bd,8e,H SU,0,0,2,2,1,23,9144,11,741202,741216,72,76,16,133,0
500113,5001,be,ef,H SE,0,0,2,3,1,23,9144,11,741202,741216,72,76,16,133,0
500114,5001,bf,90,H SO,0,0,2,4,1,23,9144,11,741202,741216,72,76,16,133,0
500115,5001,c0,91,H TA,0,0,2,5,1,23,9144,11,741202,741216,72,76,16,133,0
500116,5001,c1,92,H TI,0,0,2,6,1,23,9144,11,741202,741216,72,76,16,133,0
500117,5001,c2,93,H TU,0,0,2,7,1,23,9144,11,741202,741216,72,76,16,133,0
